"","id","l","y","costofl","sales","k","indcode","sector","age"
"3316",3316,379,4629,2296,10832,7116,17,"manufacturing",49
"3317",3317,278,707,766,2510,3360,24,"manufacturing",39
"3318",3318,57,648,802,386,257,74,"services",8
"3319",3319,346,571,2336,17613,15739,27,"manufacturing",53
"3320",3320,10,42,111,346,2970,11,"manufacturing",9
"3321",3321,549,1460,1860,3407,3407,17,"manufacturing",30
"3322",3322,113,5134,3613,24061,22884,72,"services",9
"3323",3323,40,1868,408,3149,8922,14,"manufacturing",7
"3324",3324,76,2993,602,15885,4790,32,"manufacturing",4
"3325",3325,146,87446,2057,77926,304318,65,"services",9
"3326",3326,128,1916,1480,12132,5201,51,"services",10
"3327",3327,219,1138,1212,4341,5300,24,"manufacturing",51
"3328",3328,30,13800,666,15260,45596,65,"services",6
"3329",3329,400,5786,3847,12951,5941,22,"manufacturing",18
"3330",3330,530,13026,10005,36253,15640,74,"services",9
"3331",3331,951,13654,13697,45998,11904,74,"services",10
"3332",3332,283,7436,6288,26527,9590,74,"services",11
"3333",3333,230,963,954,4761,6550,17,"manufacturing",47
"3334",3334,12,1529,350,NA,34743,45,"services",7
"3335",3335,386,2162,1414,2339,1809,74,"services",10
"3336",3336,8,23,41,87,215,74,"services",7
"3337",3337,110,1345,755,4100,2382,63,"services",37
"3338",3338,37,380,157,8833,2264,70,"services",10
"3339",3339,187,1798,704,13949,3921,50,"services",9
"3340",3340,102,5834,707,170386,43827,34,"manufacturing",8
"3341",3341,247,1540,1379,5761,1992,45,"services",9
"3342",3342,34,2014,425,7447,5380,50,"services",8
"3343",3343,1043,6876,4978,11208,51409,35,"manufacturing",54
"3344",3344,179,7010,1578,22601,23391,26,"manufacturing",49
"3345",3345,155,3964,2227,59454,30785,50,"services",5
